person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
25,11.002116507732017,RENT,0.0,DEBTCONSOLIDATION,B,8.853808274977197,9.25,0.12,0,4,0
33,10.778977123006351,RENT,5.0,MEDICAL,D,9.169622538697624,16.29,0.2,1,7,0
22,10.491301994830229,MORTGAGE,0.0,EDUCATION,C,9.360999248261296,13.49,0.32,0,2,0
39,11.19822841866684,MORTGAGE,2.0,EDUCATION,B,8.517393171418904,11.86,0.07,0,16,1
35,10.491301994830229,RENT,1.0,EDUCATION,A,8.006700845440367,5.42,0.08,0,5,0
22,10.545367754151743,MORTGAGE,5.0,EDUCATION,B,8.343077871169383,9.25,0.11,0,2,0
22,10.034559673629849,MORTGAGE,0.0,EDUCATION,A,8.006700845440367,8.94,0.13,0,2,0
25,11.661354090741,RENT,5.0,DEBTCONSOLIDATION,C,9.210440366976517,14.26,0.09,1,4,0
22,10.214751865245466,MORTGAGE,6.0,MEDICAL,B,8.223090551161533,12.69,0.14,0,2,0
50,11.245059091624615,RENT,1.0,PERSONAL,B,9.90353755128617,11.99,0.26,0,17,0
22,11.184435286790631,MORTGAGE,4.0,PERSONAL,D,9.61587214452889,16.32,0.21,1,4,0
41,11.39316171900166,RENT,2.0,VENTURE,B,9.680406499268875,10.95,0.18,0,15,0
24,11.002116507732017,RENT,0.0,HOMEIMPROVEMENT,B,8.699681400989514,11.48,0.1,0,2,0
26,11.522885696764481,MORTGAGE,6.0,PERSONAL,A,9.680406499268875,7.88,0.16,0,3,0
27,11.156264806643742,MORTGAGE,11.0,PERSONAL,A,8.630700432209832,5.42,0.08,0,7,0
25,10.73633145595318,RENT,3.0,DEBTCONSOLIDATION,C,9.350189267092581,12.53,0.25,1,3,0
34,10.778977123006351,MORTGAGE,10.0,DEBTCONSOLIDATION,A,9.105090961257085,7.14,0.19,0,6,0
42,11.918397239722838,MORTGAGE,0.0,HOMEIMPROVEMENT,A,9.680406499268875,8.49,0.11,0,12,0
23,10.714439990727769,MORTGAGE,1.0,EDUCATION,B,9.210440366976517,12.21,0.22,0,4,0
24,11.127277689932466,MORTGAGE,8.0,HOMEIMPROVEMENT,A,8.188966863648876,7.74,0.05,0,4,0
26,11.635151947212842,MORTGAGE,10.0,PERSONAL,A,9.392745258631441,7.29,0.11,0,2,1
28,10.915106645867503,RENT,3.0,MEDICAL,C,8.517393171418904,12.53,0.09,1,10,0
29,10.714239975170337,MORTGAGE,13.0,MEDICAL,C,8.517393171418904,14.72,0.11,1,8,0
25,11.338583982516495,MORTGAGE,8.0,PERSONAL,B,9.04793908261736,11.83,0.1,0,3,0
26,11.39640288460621,MORTGAGE,10.0,HOMEIMPROVEMENT,B,8.987321812850125,10.99,0.09,0,2,0
25,12.07254696717504,MORTGAGE,9.0,PERSONAL,B,8.929435283803425,11.49,0.04,0,4,0
21,9.923339198238729,RENT,2.0,PERSONAL,B,8.412054873292933,10.99,0.22,0,2,0
40,11.907336366511887,MORTGAGE,11.0,HOMEIMPROVEMENT,A,8.517393171418904,6.03,0.03,0,16,0
21,10.778977123006351,RENT,1.0,DEBTCONSOLIDATION,A,9.210440366976517,5.79,0.21,0,2,0
25,10.94024216782542,RENT,2.0,DEBTCONSOLIDATION,D,8.160803920954665,15.62,0.06,0,4,1
28,11.264476926102367,MORTGAGE,11.0,DEBTCONSOLIDATION,E,9.392745258631441,16.95,0.15,1,7,1
29,10.545367754151743,MORTGAGE,8.0,EDUCATION,A,8.188966863648876,7.14,0.09,0,9,0
24,11.451060699493427,MORTGAGE,4.0,EDUCATION,B,10.12667110305036,11.49,0.27,0,4,0
24,10.275085591132715,RENT,4.0,MEDICAL,D,9.575052927597383,15.7,0.5,0,4,1
23,9.952325334619427,RENT,2.0,DEBTCONSOLIDATION,C,8.006700845440367,12.68,0.14,1,2,0
22,10.819798284210286,MORTGAGE,7.0,EDUCATION,A,9.45727857185611,7.88,0.26,0,3,0
27,11.002116507732017,MORTGAGE,3.0,PERSONAL,B,8.699681400989514,11.48,0.1,0,10,0
26,10.858941303591607,MORTGAGE,2.0,DEBTCONSOLIDATION,E,8.77971129020447,15.68,0.13,0,3,1
24,11.32781201446548,RENT,5.0,PERSONAL,E,8.517393171418904,16.35,0.06,1,3,0
22,10.373522431293592,RENT,3.0,EDUCATION,B,9.036106025364846,11.49,0.26,0,4,0
33,10.778977123006351,MORTGAGE,2.0,HOMEIMPROVEMENT,A,8.922791623969637,8.0,0.16,0,10,0
24,11.184435286790631,RENT,8.0,PERSONAL,C,9.680406499268875,13.06,0.22,1,2,0
25,9.862717639992917,RENT,1.0,VENTURE,E,8.853808274977197,16.82,0.36,1,3,1
26,12.660331092405906,MORTGAGE,10.0,DEBTCONSOLIDATION,C,9.392745258631441,13.47,0.04,0,3,0
22,10.819798284210286,MORTGAGE,0.0,EDUCATION,B,9.90353755128617,11.48,0.4,0,2,0
28,11.561725152903833,RENT,5.0,DEBTCONSOLIDATION,C,8.612685172875459,15.23,0.05,0,7,0
24,11.205054290550551,RENT,7.0,MEDICAL,C,9.61587214452889,13.16,0.2,1,3,0
28,10.859018228147887,RENT,0.0,HOMEIMPROVEMENT,C,9.392745258631441,13.35,0.23,0,5,0
23,11.156264806643742,MORTGAGE,5.0,EDUCATION,B,9.90353755128617,12.21,0.29,0,4,0
28,10.934908916663861,RENT,9.0,MEDICAL,D,9.90353755128617,14.59,0.3,1,5,1
22,10.73815599652319,RENT,1.0,VENTURE,B,7.696667081526462,11.99,0.05,0,2,0
24,11.350418300109132,RENT,0.0,HOMEIMPROVEMENT,A,9.680406499268875,6.91,0.19,0,3,0
28,11.719947764402807,OWN,7.0,PERSONAL,A,8.294299608857235,8.59,0.03,0,5,0
24,11.184435286790631,RENT,3.0,HOMEIMPROVEMENT,A,9.488047863280759,7.29,0.18,0,3,0
24,11.532737896139919,RENT,8.0,EDUCATION,C,9.798182590890704,12.53,0.18,1,3,0
24,9.798182590890704,RENT,3.0,MEDICAL,D,8.594339400592892,15.99,0.3,1,3,1
26,10.645448706505872,RENT,3.0,EDUCATION,A,8.699681400989514,7.29,0.14,0,2,0
24,9.99884318585288,RENT,3.0,MEDICAL,C,8.294299608857235,13.92,0.18,0,3,0
24,10.308985993422082,RENT,7.0,MEDICAL,C,8.987321812850125,13.61,0.27,1,3,0
38,11.107825290265769,RENT,12.0,EDUCATION,D,9.90353755128617,14.59,0.3,0,14,0
25,10.757924157061597,RENT,6.0,VENTURE,B,8.699681400989514,11.71,0.13,0,2,0
22,10.985174071781296,RENT,0.0,MEDICAL,C,8.006700845440367,12.84,0.05,1,3,1
25,10.859018228147887,RENT,4.0,EDUCATION,B,9.61587214452889,12.18,0.29,0,4,0
29,10.373522431293592,RENT,13.0,EDUCATION,B,8.699681400989514,12.18,0.19,0,10,0
27,10.673618922112436,RENT,9.0,MEDICAL,C,8.294299608857235,13.48,0.09,0,7,0
23,9.61587214452889,OWN,4.0,DEBTCONSOLIDATION,C,8.294299608857235,13.98,0.27,0,4,1
38,10.60279074590741,MORTGAGE,7.0,HOMEIMPROVEMENT,A,9.392745258631441,8.9,0.3,0,15,0
25,11.251573687764477,MORTGAGE,8.0,HOMEIMPROVEMENT,A,9.105090961257085,6.03,0.12,0,3,0
28,10.308985993422082,RENT,2.0,DEBTCONSOLIDATION,A,9.392745258631441,5.42,0.4,0,6,1
23,11.005909242878186,RENT,7.0,MEDICAL,C,8.987321812850125,12.98,0.13,1,2,0
24,10.839600519357369,OWN,9.0,VENTURE,D,9.210440366976517,15.31,0.2,1,2,0
22,10.043292972227004,RENT,6.0,MEDICAL,C,8.486940148245216,14.27,0.21,1,3,0
24,10.933124826700707,MORTGAGE,5.0,MEDICAL,A,9.76428295481558,5.99,0.31,0,2,0
36,11.350371240731954,MORTGAGE,11.0,PERSONAL,B,8.160803920954665,12.69,0.04,0,13,0
22,10.322230781590136,RENT,2.0,VENTURE,D,9.210440366976517,12.8,0.33,0,2,1
41,12.498745990829315,MORTGAGE,0.0,PERSONAL,B,10.085850775128717,10.37,0.09,0,11,0
22,10.824785726220822,RENT,6.0,VENTURE,A,8.160803920954665,7.14,0.07,0,4,0
31,11.522885696764481,RENT,2.0,VENTURE,C,8.922791623969637,13.22,0.07,0,9,0
23,10.714439990727769,RENT,4.0,EDUCATION,A,9.105090961257085,5.99,0.2,0,3,0
23,11.184435286790631,MORTGAGE,5.0,MEDICAL,A,9.680406499268875,7.4,0.22,0,3,0
29,11.156207662970246,RENT,0.0,EDUCATION,B,7.783640596221253,11.11,0.03,0,6,0
25,10.596659732783579,RENT,6.0,EDUCATION,B,9.249657234353133,9.91,0.26,0,4,0
22,12.128116509451258,RENT,4.0,MEDICAL,B,10.12667110305036,11.36,0.14,0,2,0
24,11.184435286790631,RENT,5.0,HOMEIMPROVEMENT,B,8.987321812850125,10.0,0.11,0,3,0
33,11.775297421715827,RENT,1.0,EDUCATION,A,9.90353755128617,6.62,0.15,0,10,0
22,10.596659732783579,MORTGAGE,2.0,EDUCATION,A,9.210440366976517,6.03,0.25,0,3,0
25,10.956073354557526,RENT,2.0,PERSONAL,C,9.249657234353133,11.66,0.18,0,4,0
26,10.422311107413181,RENT,4.0,DEBTCONSOLIDATION,B,8.699681400989514,10.71,0.18,0,3,0
28,10.872237898382645,MORTGAGE,0.0,HOMEIMPROVEMENT,B,8.412054873292933,11.89,0.09,0,8,0
33,10.896757843893464,MORTGAGE,7.0,DEBTCONSOLIDATION,C,10.373522431293592,15.23,0.59,0,7,1
25,10.085850775128717,MORTGAGE,0.0,VENTURE,D,7.0909098220799835,15.21,0.05,1,4,0
25,10.985309671896763,RENT,0.0,DEBTCONSOLIDATION,E,9.61587214452889,16.45,0.25,0,4,1
25,11.159117834926688,RENT,9.0,EDUCATION,E,9.798182590890704,16.45,0.26,0,2,0
30,10.434145214930487,RENT,2.0,DEBTCONSOLIDATION,D,7.313886831633462,14.61,0.04,1,5,1
28,10.393324445863634,RENT,3.0,MEDICAL,A,8.412054873292933,7.14,0.14,0,8,0
24,10.874285408908944,MORTGAGE,8.0,EDUCATION,A,8.294299608857235,7.88,0.08,0,4,0
41,10.060363087998608,OWN,5.0,HOMEIMPROVEMENT,B,9.210440366976517,10.38,0.43,0,16,0
24,10.691967639914864,RENT,1.0,MEDICAL,A,8.699681400989514,8.0,0.14,0,2,0
29,11.082157933374816,MORTGAGE,0.0,HOMEIMPROVEMENT,A,9.210440366976517,8.94,0.15,0,9,0
25,10.944753174351685,MORTGAGE,9.0,VENTURE,C,9.90353755128617,13.61,0.35,0,2,0
22,10.203629181337648,RENT,3.0,DEBTCONSOLIDATION,A,7.937731775260109,7.51,0.1,0,3,1
31,11.470028402317833,RENT,1.0,HOMEIMPROVEMENT,B,8.657129031713755,9.45,0.06,0,10,0
35,10.34177474101152,MORTGAGE,9.0,EDUCATION,C,9.61587214452889,13.16,0.48,0,9,0
24,10.596659732783579,RENT,4.0,MEDICAL,A,9.546884034617925,6.03,0.35,0,2,1
25,10.166044106207172,MORTGAGE,3.0,EDUCATION,B,9.210440366976517,9.91,0.38,0,2,0
24,10.985309671896763,RENT,7.0,HOMEIMPROVEMENT,D,9.632400353656184,14.96,0.26,0,4,0
25,10.463131911491967,RENT,4.0,MEDICAL,C,8.77971129020447,12.68,0.19,1,2,0
24,12.013706813470414,MORTGAGE,5.0,PERSONAL,B,9.90353755128617,10.37,0.12,0,4,0
36,12.07254696717504,MORTGAGE,2.0,MEDICAL,A,9.375939552625749,7.51,0.07,0,11,0
23,10.950824090522445,MORTGAGE,5.0,VENTURE,B,9.798182590890704,11.11,0.32,0,2,0
22,10.868587496017359,MORTGAGE,6.0,DEBTCONSOLIDATION,C,8.987321812850125,15.23,0.15,0,3,0
24,10.085850775128717,RENT,3.0,VENTURE,B,9.210440366976517,8.7,0.42,0,2,1
30,11.279744203985432,MORTGAGE,10.0,EDUCATION,A,9.105090961257085,8.49,0.11,0,8,1
37,11.957617696467539,MORTGAGE,16.0,HOMEIMPROVEMENT,A,8.294299608857235,8.49,0.03,0,15,0
27,11.544918196006401,RENT,1.0,VENTURE,C,10.12667110305036,12.73,0.24,0,10,0
30,11.6172944892629,MORTGAGE,2.0,HOMEIMPROVEMENT,G,9.433563920090563,19.04,0.11,0,8,1
23,10.308985993422082,MORTGAGE,5.0,MEDICAL,A,6.90875477931522,7.4,0.03,0,2,0
23,11.225256725762893,RENT,3.0,EDUCATION,C,9.392745258631441,14.27,0.16,1,2,0
26,11.151969943847991,RENT,4.0,MEDICAL,D,9.472781556562168,14.42,0.16,1,2,1
26,11.695255355062795,MORTGAGE,10.0,HOMEIMPROVEMENT,C,8.630700432209832,13.49,0.05,1,3,0
24,11.477308649967686,MORTGAGE,1.0,EDUCATION,E,9.546884034617925,17.19,0.15,0,4,0
25,10.571342565808699,RENT,1.0,HOMEIMPROVEMENT,E,9.683526431913219,17.14,0.41,1,3,1
25,9.61587214452889,RENT,0.0,MEDICAL,A,7.601402334583733,7.88,0.13,0,4,0
27,10.348205424565993,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8.922791623969637,7.74,0.24,0,5,0
21,10.896757843893464,RENT,0.0,VENTURE,D,7.3783837129967145,14.96,0.03,0,4,1
29,11.002116507732017,OWN,13.0,VENTURE,A,6.90875477931522,6.76,0.02,0,8,0
26,10.859018228147887,RENT,6.0,DEBTCONSOLIDATION,C,7.824445930877619,14.82,0.05,1,2,0
39,11.112462823634855,MORTGAGE,4.0,HOMEIMPROVEMENT,B,9.61587214452889,10.37,0.22,0,15,0
25,10.819798284210286,RENT,2.0,VENTURE,B,9.287394001418473,10.75,0.22,0,3,0
27,11.002116507732017,RENT,4.0,HOMEIMPROVEMENT,A,8.881975184248867,8.9,0.12,0,7,0
22,10.960670023107765,MORTGAGE,6.0,MEDICAL,B,9.952325334619427,11.48,0.36,0,3,0
24,11.561725152903833,RENT,2.0,VENTURE,A,9.53249633228804,7.66,0.13,0,2,0
24,10.714439990727769,MORTGAGE,8.0,VENTURE,A,8.699681400989514,7.51,0.13,0,3,0
26,10.545367754151743,RENT,6.0,PERSONAL,C,6.90875477931522,15.27,0.03,1,3,0
28,10.038236953087743,RENT,4.0,DEBTCONSOLIDATION,B,8.476579508530941,10.38,0.21,0,7,0
25,11.272139700982676,RENT,0.0,MEDICAL,C,9.036106025364846,13.48,0.11,0,4,0
28,10.308985993422082,RENT,0.0,DEBTCONSOLIDATION,A,9.210440366976517,9.32,0.33,0,7,1
26,11.002116507732017,RENT,5.0,VENTURE,C,8.006700845440367,15.62,0.05,0,2,0
21,10.513280297700861,MORTGAGE,5.0,EDUCATION,A,9.425532393502772,7.51,0.34,0,4,0
27,10.799514350728673,RENT,3.0,VENTURE,B,9.392745258631441,12.53,0.24,0,6,0
28,11.184435286790631,RENT,3.0,MEDICAL,C,9.392745258631441,14.27,0.17,1,6,0
26,10.859018228147887,OWN,10.0,EDUCATION,D,8.517393171418904,15.65,0.1,1,4,0
23,11.472113887062386,MORTGAGE,1.0,EDUCATION,A,9.210440366976517,7.49,0.1,0,3,0
26,11.302216779257382,MORTGAGE,6.0,MEDICAL,B,8.517393171418904,10.75,0.06,0,3,0
41,10.308985993422082,RENT,3.0,PERSONAL,A,9.091106284052485,5.42,0.3,0,16,0
64,10.736418414365376,RENT,2.0,PERSONAL,C,8.476579508530941,11.09,0.1,1,24,0
24,11.19822841866684,MORTGAGE,8.0,HOMEIMPROVEMENT,C,9.140561477368266,12.53,0.13,0,2,1
27,10.203629181337648,OWN,0.0,EDUCATION,G,9.350189267092581,20.11,0.43,0,9,1
26,10.12667110305036,RENT,2.0,MEDICAL,B,8.517393171418904,12.69,0.2,0,3,0
29,10.422311107413181,MORTGAGE,0.0,HOMEIMPROVEMENT,B,8.699681400989514,11.12,0.18,0,7,0
28,11.034905792929415,RENT,0.0,HOMEIMPROVEMENT,A,9.61587214452889,7.9,0.24,0,10,0
27,11.849404844423074,MORTGAGE,4.0,PERSONAL,B,7.937731775260109,11.99,0.02,0,9,0
21,10.275085591132715,RENT,5.0,DEBTCONSOLIDATION,B,9.210440366976517,10.0,0.34,0,4,1
29,10.668885624799978,RENT,5.0,VENTURE,C,8.699681400989514,15.96,0.14,0,5,1
22,11.225256725762893,MORTGAGE,3.0,EDUCATION,A,9.105090961257085,5.79,0.12,0,2,0
29,10.308985993422082,MORTGAGE,0.0,VENTURE,C,8.79497643168877,13.85,0.22,0,8,0
45,10.896757843893464,MORTGAGE,1.0,EDUCATION,D,8.955577146281511,16.07,0.14,0,13,1
27,10.714439990727769,RENT,4.0,MEDICAL,C,9.210440366976517,14.22,0.22,1,6,0
26,10.596559730283433,MORTGAGE,10.0,VENTURE,A,8.77971129020447,8.32,0.16,0,3,0
24,11.350418300109132,RENT,0.0,EDUCATION,A,9.680406499268875,6.91,0.19,0,2,0
24,10.915106645867503,MORTGAGE,4.0,DEBTCONSOLIDATION,C,7.3783837129967145,13.79,0.03,0,2,0
31,11.407576060361786,MORTGAGE,8.0,HOMEIMPROVEMENT,B,9.798182590890704,11.11,0.2,0,10,0
32,11.362114203075018,MORTGAGE,4.0,MEDICAL,A,9.036106025364846,6.62,0.1,0,8,0
28,11.225256725762893,MORTGAGE,11.0,PERSONAL,A,8.006700845440367,7.9,0.04,0,8,1
23,10.90755103814573,RENT,5.0,EDUCATION,B,9.852246888342531,11.14,0.35,0,4,1
30,11.608244735642321,MORTGAGE,14.0,VENTURE,B,9.210440366976517,10.65,0.09,0,8,0
25,10.859018228147887,RENT,4.0,VENTURE,D,8.699681400989514,14.96,0.12,1,2,0
21,10.434145214930487,RENT,5.0,HOMEIMPROVEMENT,B,7.783640596221253,10.83,0.07,0,4,1
22,11.350418300109132,MORTGAGE,4.0,VENTURE,A,9.392745258631441,6.91,0.14,0,3,0
25,11.264476926102367,MORTGAGE,4.0,DEBTCONSOLIDATION,B,7.783640596221253,11.86,0.03,0,4,0
25,11.630717389475995,MORTGAGE,6.0,PERSONAL,B,9.798182590890704,11.14,0.16,0,3,0
21,9.65509029374725,OWN,5.0,VENTURE,A,6.90875477931522,7.29,0.06,0,4,0
32,11.884495917930655,RENT,2.0,PERSONAL,B,9.082620630373812,10.59,0.06,0,7,0
27,12.013706813470414,MORTGAGE,6.0,MEDICAL,B,10.463131911491967,12.42,0.21,0,10,0
24,10.62135173563291,OWN,9.0,HOMEIMPROVEMENT,D,9.210440366976517,15.33,0.24,0,4,0
23,10.165890277802454,RENT,4.0,EDUCATION,B,9.024131268455035,9.99,0.32,0,4,1
41,10.799595985047786,RENT,4.0,HOMEIMPROVEMENT,E,10.12667110305036,17.04,0.51,0,13,1
26,10.714439990727769,RENT,2.0,PERSONAL,C,8.476579508530941,13.06,0.11,1,4,0
26,11.703554089007538,RENT,2.0,EDUCATION,A,7.824445930877619,7.66,0.02,0,4,0
22,10.819798284210286,RENT,0.0,MEDICAL,C,9.210440366976517,12.99,0.2,0,4,0
25,11.561725152903833,MORTGAGE,1.0,PERSONAL,C,9.61587214452889,12.53,0.14,1,3,0
25,10.979359904234647,RENT,7.0,MEDICAL,D,8.630700432209832,14.84,0.08,0,4,1
22,10.950824090522445,MORTGAGE,6.0,EDUCATION,B,9.34145634983372,12.53,0.2,0,3,0
25,11.258046118484,RENT,3.0,HOMEIMPROVEMENT,A,8.006700845440367,6.54,0.04,0,4,0
27,10.691967639914864,RENT,1.0,VENTURE,D,8.517393171418904,16.89,0.11,1,10,1
28,10.944912015167048,MORTGAGE,12.0,PERSONAL,D,9.69898173460629,14.91,0.29,1,10,1
24,10.12667110305036,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8.853808274977197,9.32,0.28,0,2,0
25,12.30594060467835,MORTGAGE,6.0,DEBTCONSOLIDATION,D,9.38437770918244,14.42,0.05,1,3,1
35,9.287394001418473,RENT,4.0,EDUCATION,D,7.824445930877619,14.84,0.23,0,5,1
23,10.555838779903407,RENT,7.0,DEBTCONSOLIDATION,C,8.188966863648876,13.61,0.09,1,3,0
23,11.264476926102367,RENT,6.0,VENTURE,C,9.575052927597383,14.27,0.18,1,4,0
21,11.19135563385109,RENT,3.0,EDUCATION,C,9.546884034617925,13.49,0.19,1,3,0
29,10.736418414365376,MORTGAGE,3.0,VENTURE,B,8.699681400989514,11.49,0.13,0,5,0
23,10.714439990727769,RENT,2.0,PERSONAL,B,9.32375833901174,10.59,0.25,0,2,0
26,10.858941303591607,RENT,1.0,MEDICAL,C,9.210440366976517,13.23,0.19,0,4,0
24,12.206077645517674,RENT,8.0,MEDICAL,B,9.392745258631441,12.69,0.06,0,2,0
25,11.225256725762893,RENT,5.0,PERSONAL,D,8.764209507142004,15.99,0.09,1,2,0
35,11.225043372515781,RENT,2.0,VENTURE,A,9.510519035757246,7.29,0.18,0,9,0
31,9.287394001418473,RENT,4.0,MEDICAL,C,7.601402334583733,14.72,0.19,1,6,1
27,10.942455988276723,MORTGAGE,4.0,MEDICAL,D,9.392745258631441,15.95,0.18,1,7,1
24,10.933124826700707,MORTGAGE,1.0,VENTURE,C,9.210440366976517,14.35,0.18,0,4,1
29,11.289794413577894,MORTGAGE,2.0,HOMEIMPROVEMENT,A,8.412054873292933,6.76,0.06,0,10,0
26,11.775297421715827,RENT,0.0,HOMEIMPROVEMENT,C,8.423102268016642,13.57,0.04,1,2,0
24,12.959846800844963,MORTGAGE,8.0,EDUCATION,A,9.210440366976517,7.88,0.02,0,3,0
30,11.156264806643742,RENT,0.0,DEBTCONSOLIDATION,C,9.61587214452889,13.61,0.21,1,6,0
31,12.206077645517674,MORTGAGE,8.0,DEBTCONSOLIDATION,A,10.085850775128717,8.9,0.12,0,9,0
22,10.643064971973882,RENT,3.0,EDUCATION,A,9.259225769705994,8.49,0.25,0,2,0
22,11.002116507732017,MORTGAGE,5.0,DEBTCONSOLIDATION,C,9.433563920090563,13.11,0.21,1,2,0
28,11.283977601178368,MORTGAGE,12.0,PERSONAL,A,9.706620724300137,7.9,0.21,0,10,0
25,10.691967639914864,MORTGAGE,7.0,EDUCATION,B,8.922791623969637,10.08,0.17,0,4,1
24,11.251573687764477,MORTGAGE,8.0,MEDICAL,A,9.546884034617925,8.94,0.18,0,3,0
26,11.350418300109132,RENT,2.0,VENTURE,A,10.239995502805316,7.49,0.33,0,3,1
23,9.90353755128617,RENT,6.0,PERSONAL,C,8.294299608857235,12.23,0.2,1,2,0
24,12.07254696717504,RENT,1.0,PERSONAL,B,9.852246888342531,11.48,0.11,0,3,0
23,11.407576060361786,MORTGAGE,5.0,PERSONAL,A,9.61587214452889,6.03,0.17,0,3,0
33,11.51293546492023,OWN,3.0,MEDICAL,B,10.12667110305036,12.18,0.25,0,10,0
27,11.289794413577894,RENT,5.0,HOMEIMPROVEMENT,A,9.680406499268875,7.49,0.2,0,8,0
25,10.803669227477098,MORTGAGE,2.0,EDUCATION,B,8.699681400989514,10.0,0.12,0,4,0
29,10.422311107413181,RENT,7.0,VENTURE,B,7.601402334583733,11.71,0.06,0,9,0
30,9.90193635004339,RENT,3.0,DEBTCONSOLIDATION,E,8.294299608857235,16.45,0.2,0,9,1
36,10.373522431293592,RENT,2.0,MEDICAL,E,7.783640596221253,18.79,0.07,0,14,1
23,10.768506042432708,RENT,5.0,MEDICAL,C,9.770013301136158,13.61,0.37,0,4,1
28,10.203629181337648,OWN,5.0,EDUCATION,A,8.630700432209832,5.42,0.21,0,8,0
42,11.350418300109132,RENT,3.0,VENTURE,C,8.657129031713755,12.99,0.07,1,15,0
27,11.33385860589677,RENT,2.0,MEDICAL,B,9.305741456739435,9.76,0.13,0,7,0
26,10.755581038365076,RENT,9.0,PERSONAL,C,9.61587214452889,12.99,0.32,1,3,1
